pid,year,jbsect1,jbhrs1,age,e1,spelldur1,logw1,jbsect2,jbhrs2,j2u,j2j,u2j,e2,logw2,sex,educ,nonwhite
14789671,1992,1,39,27,1,7.9232879,6.5854416,1,37,1,0,0,0,6.6700163,1,1,0
14810948,1994,3,37,40,1,23.079453,6.9876533,,,0,0,0,,,1,3,0
14815427,2003,1,20,66,1,131.80273,5.7914648,,,0,0,0,,,0,1,0
14815486,1993,1,35,28,1,12.09863,6.3599463,1,-8,0,1,0,0,,0,1,0
14818787,2001,1,40,47,1,111.74795,7.09411,1,38,0,1,0,1,7.3730659,1,2,0
14821028,1993,1,35,29,1,15.386301,6.8813324,1,50,0,1,0,1,6.8041825,1,1,0
14824388,2003,1,40,57,1,132.23013,6.3129315,,,0,0,0,,,0,3,0
14824477,1992,1,50,45,1,.26301369,7.064445,1,50,0,1,0,1,7.1462121,1,1,0
14825503,2003,1,37,45,1,131.70412,7.3835311,,,0,0,0,,,1,1,0
14825538,1996,1,18,35,1,58.91507,5.8265805,3,20,0,1,0,1,5.6224294,0,1,0
14850168,1994,1,30,31,0,27.682192,,-8,-8,0,0,1,0,,1,1,0
14853493,1993,1,40,42,1,23.769863,6.6193657,1,39,0,1,0,1,7.2037826,1,1,1
14854619,1993,1,39,52,1,18.673973,7.3780022,1,29,1,0,0,0,7.2304144,1,3,0
14865807,1998,3,37,34,1,79.397263,7.3390779,6,35,0,1,0,1,7.5109363,0,3,1
14882639,1994,3,32,29,1,30.378082,7.4751072,4,20,0,1,0,1,7.0154915,0,3,0
14902753,1997,1,37,33,1,58.91507,7.0422287,,,0,0,0,,,1,1,0
14910586,1997,1,37,57,1,60.558903,7.1127744,,,0,0,0,,,1,1,1
14910616,2000,1,37,55,1,108.09863,6.8895578,1,32,0,1,0,1,6.8078141,0,1,1
14912821,1995,-8,-8,31,0,45.698631,,-8,20,0,0,1,1,6.0802164,1,1,1
14922908,1997,1,37,58,1,59.375343,6.9053707,,,0,0,0,,,1,1,0
14922967,1992,5,42,26,1,.16438356,6.4402905,2,41,1,0,0,0,6.7124815,1,1,0
14939703,2003,3,37,46,1,132.03288,6.7730851,,,0,0,0,,,1,1,0
14945339,1993,4,40,33,1,14.10411,7.682137,4,50,0,1,0,1,7.9044852,1,3,1
14947536,1993,-8,-8,41,0,18.641096,,1,37,0,0,1,1,6.636797,1,1,1
14954281,2003,5,38,51,1,131.07945,6.5156145,,,0,0,0,,,0,1,0
14959852,2003,5,41,56,1,130.94795,7.4050746,,,0,0,0,,,1,1,1
14959887,2003,3,27,52,1,130.94795,6.5058517,,,0,0,0,,,0,3,1
14981157,1992,1,-8,29,0,9.8630133,,1,36,0,0,1,1,6.2893615,1,1,0
14986728,1992,1,39,46,1,6.7726026,6.6361208,1,-8,1,0,0,0,,0,1,0
14993503,1992,3,37,26,1,1.0849315,6.663588,4,37,0,1,0,1,6.6332083,0,2,0
15015866,1999,4,28,38,1,85.80822,7.4098477,4,32,0,1,0,1,,0,3,0
15022552,1995,1,0,34,1,36.493149,7.0482688,,,0,0,0,,,1,1,0
15038238,1994,3,41,28,1,24.657534,7.0223746,,,0,0,0,,,1,1,0
15044947,1997,-8,-8,49,0,59.572601,,,,0,0,0,,,1,1,0
